t,accCmpX,accCmpY,accCmpZ
551,11.1301,0.25506,-17.5459
552,11.5844,0.23544,-18.059
553,11.9113,0.23544,-18.3859
554,12.1669,0.23544,-18.6415
555,12.3491,0.23544,-18.8237
556,12.4564,0.23544,-18.931
557,9.29339,0.66708,-16.0132
558,2.63696,0.66708,-9.35681
559,-4.02434,0.66708,-2.69551
560,-7.14226,0.66708,0.422414
561,-5.04097,0.66708,-1.67888
562,-5.88387,0.36297,-1.52268
563,-6.50648,0.36297,-0.900066
564,-6.45213,0.24525,-0.826887
565,-6.36319,0.24525,-0.915833
566,-6.26896,0.24525,-1.01006
567,-6.82509,0.06867,-0.228297
568,-6.82357,0.15696,-0.327923
569,-6.96418,0.15696,-0.187307
570,-7.04805,0.15696,-0.103438
571,-7.07275,0.15696,-0.0787391
572,-6.73307,0.31392,0.709735
573,-5.68658,0.31392,-0.336758
574,-6.4129,-0.00981,0.271844
575,-6.88411,-0.00981,0.743048
576,-6.07286,0.37278,-0.666607
577,-4.62105,0.37278,-2.11842
578,-0.192181,0.01962,-6.52767
579,5.01775,0.01962,-11.7376
580,9.55787,0.01962,-16.2777
581,5.36074,0.2943,-11.8648
582,0.477864,0.2943,-6.98189
583,-3.86051,0.2943,-2.64352
584,-3.31706,0.07848,-3.94234
585,-2.71825,0.07848,-4.54115
586,-1.47157,0.17658,-5.44448
587,-0.245547,0.17658,-6.6705
588,-2.24971,0.44145,-4.32299
589,-3.92019,0.44145,-2.65251
590,2.43912,0.34335,-8.16816
591,10.0584,-5.88329,-10.9174
592,-6.95506,0.34335,1.22602
593,-6.45452,0.73575,0.225165
594,-5.23573,0.73575,-0.993618
595,-3.46467,0.73575,-2.76468
596,1.91229,0.84366,-8.43594
597,7.46893,0.84366,-13.9926
598,8.51775,1.00062,-14.5019
599,9.32461,1.00062,-15.3087
600,9.92596,1.00062,-15.9101
601,6.60265,0.6867,-12.7535
602,2.28273,0.6867,-8.4336
603,-6.92421,1.3696,-10.0168
604,0.211798,-9.14687,-10.526
605,10.1334,-0.01962,-17.0298
606,11.9738,-0.01962,-18.8702
607,-4.32036,0.15696,-3.87099
608,-0.209254,0.15696,-7.9821
609,12.5873,0.15696,-20.7787
610,3.11585,9.91612,-11.3261
611,-6.84551,-0.0980969,-20.8435
612,-6.36709,0.69651,-2.07932
613,-3.17591,0.69651,-5.2705
614,1.79688,0.69651,-10.2433
615,10.976,0.25506,-19.0594
616,11.2207,0.25506,-19.3042
617,2.53315,0.25506,-10.6166
618,-6.25901,0.22563,-3.20764
619,-2.32204,-0.06867,-6.34019
620,10.3554,0.656931,-3.62084
621,9.76913,-0.06867,-18.4314
622,-2.4357,0.50031,-6.14805
623,-6.53591,0.50031,-2.04784
624,0.845937,0.31392,-9.51798
625,9.97305,0.31392,-18.6451
626,11.4105,-0.05886,-19.288
627,2.27462,-0.05886,-10.1521
628,-6.37838,-0.05886,-1.49905
629,-5.79061,0.30411,-3.01877
630,1.42778,0.30411,-10.2372
631,4.71435,-0.06867,-11.7776
632,7.7665,-0.06867,-14.8297
633,12.1347,-0.01962,-20.0808
634,11.4709,-0.01962,-19.417
635,6.27425,-0.01962,-14.2204
636,1.65575,9.74845,-9.83023
637,-2.57606,-0.989791,-15.0463
638,-4.51844,0.31392,-2.64286
639,-5.97134,0.31392,-1.18996
640,-6.84079,0.31392,-0.320513
641,-6.74949,0.03924,0.117934
642,-6.52988,0.03924,-0.101678
643,-6.23948,0.03924,-0.392082
644,-4.94943,0,-1.66251
645,-3.27244,0,-3.3395
646,-0.218727,0.10791,-6.17739
647,3.36865,0.10791,-9.76477
648,6.92484,0.10791,-13.321
649,8.87716,0.05886,-15.2831
650,10.4989,0.05886,-16.9048
651,10.7268,0.02943,-17.5055
652,10.9593,0.02943,-17.738
653,11.4991,0.03924,-17.3165
654,11.8764,0.03924,-17.6937
655,12.1933,0.24525,-18.9622
656,12.4019,0.24525,-19.1708
657,12.5105,0.24525,-19.2794
658,12.1018,0.03924,-18.3017
659,10.3059,0.03924,-16.5059
660,7.43646,0.03924,-13.6364
661,6.24208,0.18639,-12.9717
662,5.05824,9.18122,-10.2182
663,3.82471,0.10791,-10.4367
664,2.57037,0.10791,-9.18231
665,1.31511,0.10791,-7.92705
666,1.26146,0.48069,-8.01074
667,1.1587,0.48069,-7.90798
668,1.96189,9.40853,-8.64567
669,2.77511,0.17658,-8.92598
670,4.23035,0.21582,-11.9704
671,5.67205,0.21582,-13.4121
672,4.20076,0.13734,-11.5386
673,2.62165,0.13734,-9.95953
674,1.0441,0.13734,-8.38198
675,2.12751,0.28449,-8.8866
676,3.305,0.28449,-10.0641
677,3.33592,0.11772,-9.97729
678,3.34709,0.11772,-9.98846
679,3.35935,0.11772,-10.0007
680,3.34886,0.2943,-10.4807
681,3.35097,0.2943,-10.4828
682,3.54599,0.03924,-9.79496
683,3.68593,0.03924,-9.9349
684,7.01484,0.26487,-13.1657
685,9.87393,0.26487,-16.0248
686,11.7782,0.26487,-17.9291
687,11.0768,0.18639,-17.6397
688,9.81463,0.18639,-16.3775
689,10.062,0.17658,-16.6935
690,10.36,0.929244,-1.95706
691,10.6317,0.888172,-1.68731
692,10.979,0.1962,-16.453
693,11.2211,0.1962,-16.6951
