timestamp (ms),GPS_Lon,Cal_Lon
989909.8220214844,35.1527161,35.1540331
990009.8220214844,35.1527587,35.1540549
990109.8220214844,35.1527587,35.1540795
990209.8220214844,35.1527587,35.1541041
990309.8220214844,35.1528443,35.1541257
990409.8220214844,35.1528443,35.1541505
990509.8220214844,35.1528872,35.1541725
990609.8220214844,35.1528872,35.1541972
990709.8220214844,35.1528872,35.1542219
990809.8220214844,35.15293,35.1542439
990909.8220214844,35.15293,35.1542686
991009.8220214844,35.1529727,35.1542933
991109.8220214844,35.1529727,35.1543179
991209.8220214844,35.1529727,35.1543425
991309.8220214844,35.1530583,35.1543671
991409.8220214844,35.1530583,35.1543918
991509.8220214844,35.153101,35.154414
991609.8220214844,35.153101,35.1544387
991709.8220214844,35.153101,35.1544634
991809.8220214844,35.1531436,35.1544856
991909.8220214844,35.1531436,35.1545102
992009.8220214844,35.1531436,35.1545348
992109.8220214844,35.1531861,35.154557
992209.8220214844,35.1531861,35.1545814
992309.8220214844,35.15327,35.1546036
992409.8220214844,35.15327,35.1546278
992509.8220214844,35.1533118,35.1546497
992609.8220214844,35.1533118,35.1546737
992709.8220214844,35.1533118,35.1546977
992809.8220214844,35.1533533,35.1547195
992909.8220214844,35.1533533,35.1547433
993009.8220214844,35.1533946,35.1547649
993109.8220214844,35.1533946,35.1547887
993209.8220214844,35.1533946,35.1548125
993309.8220214844,35.1534359,35.1548339
993409.8220214844,35.1534359,35.1548577
993509.8220214844,35.1535183,35.1548789
993609.8220214844,35.1535183,35.1549027
993709.8220214844,35.1535183,35.1549265
993809.8220214844,35.1535596,35.1549476
993909.8220214844,35.1535596,35.1549714
994009.8220214844,35.1535596,35.1549952
994109.8220214844,35.1536009,35.1550162
994209.8220214844,35.1536009,35.1550401
994309.8220214844,35.1536836,35.1550609
994409.8220214844,35.1536836,35.1550848
994509.8220214844,35.1536836,35.1551087
994609.8220214844,35.153725,35.1551296
994709.8220214844,35.153725,35.1551536
994809.8220214844,35.1537668,35.1551747
994909.8220214844,35.1537668,35.1551989
995009.8220214844,35.1538086,35.1552201
995109.8220214844,35.1538086,35.1552442
995209.8220214844,35.1538086,35.1552683
995309.8220214844,35.1538924,35.1552887
995409.8220214844,35.1538924,35.155313
995509.8220214844,35.1539344,35.1553343
995609.8220214844,35.1539344,35.1553585
995709.8220214844,35.1539344,35.1553827
995809.8220214844,35.1539764,35.155404
995909.8220214844,35.1539764,35.1554283
996009.8220214844,35.1539764,35.1554526
996109.8220214844,35.1540184,35.1554739
996209.8220214844,35.1540604,35.1554953
996309.8220214844,35.1540604,35.1555196
996409.8220214844,35.1540604,35.1555439
996509.8220214844,35.1541443,35.1555651
996609.8220214844,35.1541443,35.1555893
996709.8220214844,35.1541863,35.1556108
996809.8220214844,35.1541863,35.1556351
996909.8220214844,35.1541863,35.1556594
997009.8220214844,35.1542281,35.155681
997109.8220214844,35.1542281,35.1557052
997209.8220214844,35.1542281,35.1557294
997309.8220214844,35.1542699,35.155751
997409.8220214844,35.1542699,35.1557752
997509.8220214844,35.1543535,35.1557966
997609.8220214844,35.1543535,35.1558207
997709.8220214844,35.1543952,35.1558421
997809.8220214844,35.1543952,35.1558662
997909.8220214844,35.1543952,35.1558903
998009.8220214844,35.1544371,35.1559115
998109.8220214844,35.1544371,35.1559358
998209.8220214844,35.1544792,35.1559573
998309.8220214844,35.1544792,35.1559816
998409.8220214844,35.1544792,35.1560059
998509.8220214844,35.1545633,35.1560268
998609.8220214844,35.1545633,35.1560511
998709.8220214844,35.1546053,35.1560725
998809.8220214844,35.1546053,35.1560968
